#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
622,Sebastián Rivero,LAA,14,50,54,10,7,2,0,1,5,5,2,0,12,1,0,0,0,0,0.207
623,Cameron Cauley,TEX,7,29,32,6,4,1,0,1,4,3,2,0,9,0,0,0,1,0,0.215
624,Mickey Gasper,BOS,17,63,72,15,10,3,0,2,9,7,7,0,15,1,0,0,0,0,0.236
625,Henry Bolte,ATH,56,220,243,53,36,10,0,6,29,24,20,0,79,2,1,0,10,2,0.239
626,Leo De Vries,ATH,11,41,46,10,6,2,0,1,5,5,4,0,11,0,0,0,1,0,0.238
627,Sandy León,ATL,19,69,75,10,8,1,0,1,6,6,5,0,25,0,0,0,0,0,0.15
628,Jase Bowen,SDP,6,26,28,5,4,1,0,0,4,3,2,0,8,0,0,0,0,0,0.211
629,Wade Meckler,LAA,24,90,104,15,12,3,0,0,12,9,13,0,27,1,0,0,1,0,0.171
630,Zach Dezenzo,HOU,27,107,117,24,15,5,0,4,13,13,9,0,35,0,0,0,1,0,0.229
631,Jonah Cox,SFG,8,32,36,8,5,1,0,1,4,4,3,0,8,0,0,0,1,0,0.241
