#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
333,Ildemaro Vargas,ARI,68,237,254,63,46,11,2,5,28,33,12,0,28,2,1,1,2,1,0.267
334,Marcell Ozuna,PIT,90,319,368,76,48,14,0,13,38,41,44,1,90,2,2,0,0,0,0.238
335,Michael Massey,KCR,75,247,266,60,39,14,1,7,27,30,13,0,51,3,3,1,2,1,0.244
336,Angel Martínez,CLE,89,310,339,74,46,17,2,9,39,39,19,0,72,5,2,4,7,3,0.238
337,Freddy Fermin,SDP,67,195,215,43,31,8,0,4,22,20,15,1,43,2,2,2,1,1,0.222
338,Michael Helman,TEX,55,192,210,42,25,10,1,6,29,25,13,0,49,3,1,1,6,1,0.219
339,Joey Bart,PIT,58,174,197,41,30,7,0,5,21,20,18,0,57,4,1,0,1,1,0.238
340,Alika Williams,ATH,60,189,209,46,34,7,1,3,23,20,13,0,43,3,1,2,2,1,0.24
341,Tristan Gray,MIN,71,235,258,52,31,12,1,8,28,32,18,1,78,3,2,1,1,1,0.223
342,Christian Koss,SFG,52,155,169,39,27,8,1,3,21,18,8,0,38,3,1,2,3,2,0.249
343,César Salazar,HOU,43,129,151,27,19,5,0,3,15,17,14,0,28,7,1,1,1,1,0.21
344,Tyler Tolbert,KCR,69,208,234,48,34,8,3,3,32,22,14,0,62,4,1,7,19,2,0.23
345,Taylor Walls,TBR,74,213,245,45,30,9,2,3,30,22,26,0,58,1,1,3,10,3,0.21
346,Dustin Harris,CHW,69,251,282,63,43,11,2,6,36,30,24,1,63,3,2,1,13,3,0.249
347,Zach Cole,HOU,67,241,270,50,28,10,3,10,31,37,24,1,109,5,1,0,9,3,0.21
348,Ryan Mountcastle,BAL,62,224,241,59,37,12,1,8,26,30,14,0,59,2,1,0,2,0,0.261
349,Curtis Mead,WSN,74,243,273,60,40,13,1,7,33,31,22,0,54,6,1,0,4,2,0.248
350,Tommy Troy,ARI,65,253,281,60,42,13,1,4,29,28,22,0,62,4,2,1,6,2,0.238
351,Victor Caratini,MIN,67,198,227,45,34,6,0,5,18,24,19,0,42,7,3,0,1,0,0.23
352,Jeremiah Jackson,BAL,86,315,334,76,49,15,1,11,34,44,14,0,75,2,2,0,5,3,0.242
353,Jorge Mateo,ATL,62,164,177,38,25,8,2,4,26,17,10,0,48,1,1,1,13,2,0.235
354,Juan Brito,CLE,66,249,283,55,34,14,1,6,33,30,28,1,61,3,2,2,3,3,0.222
355,Victor Mesa Jr.,TBR,54,205,223,48,33,9,1,6,25,27,15,0,46,2,1,1,3,1,0.234
356,Wade Meckler,LAA,56,202,228,55,42,9,2,2,25,21,23,1,44,1,1,1,4,2,0.27
357,Willi Castro,COL,85,278,312,71,48,14,3,7,42,32,25,1,75,7,2,1,8,4,0.257
