#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
239,Joc Pederson,TEX,64,237,275,57,35,10,1,11,34,34,30,1,62,5,2,1,2,1,0.238
240,Addison Barger,TOR,46,179,200,43,25,11,0,7,24,27,17,0,50,2,1,1,2,1,0.243
241,Taylor Trammell,HOU,47,175,202,40,23,9,1,7,25,24,23,0,57,2,1,1,7,2,0.227
242,Victor Scott II,STL,83,322,359,71,53,12,2,5,36,28,26,0,78,5,3,3,25,5,0.222
243,Dylan Beavers,BAL,43,162,186,39,25,8,1,5,24,21,21,0,44,1,1,1,6,2,0.242
244,Leody Taveras,BAL,39,152,168,38,25,7,1,4,20,18,13,0,36,1,1,1,7,2,0.248
245,Jake Bauers,MIL,60,226,259,52,31,10,1,10,31,31,28,1,72,2,2,1,6,1,0.23
246,Giancarlo Stanton,NYY,51,197,220,47,26,7,0,13,27,35,20,1,66,1,1,0,1,0,0.238
247,Matt Wallner,MIN,44,166,191,39,21,8,1,8,25,25,18,1,61,5,1,1,2,1,0.232
248,TJ Rumfield,COL,82,316,354,82,56,17,0,9,38,37,29,0,67,5,3,2,1,1,0.26
249,Freddy Fermin,SDP,48,172,190,39,28,7,0,4,18,17,15,0,39,1,1,1,1,0,0.229
250,Everson Pereira,CHW,46,177,197,42,26,8,1,8,23,24,15,0,59,2,1,1,4,1,0.239
251,Andrew Vaughn,MIL,75,293,325,74,46,15,0,12,38,42,25,1,63,4,2,1,1,0,0.252
252,Jorge Polanco,NYM,60,231,261,56,35,11,0,9,30,33,25,1,54,2,2,1,3,1,0.241
253,Spencer Steer,CIN,77,293,333,71,44,15,1,11,39,40,32,1,71,4,2,1,5,1,0.241
254,Dominic Canzone,SEA,60,235,259,57,36,11,0,10,29,33,19,1,59,2,2,1,4,1,0.243
255,Amed Rosario,NYY,43,174,188,45,32,8,1,4,23,20,11,0,35,1,1,1,4,1,0.26
256,Edouard Julien,COL,66,242,286,58,39,11,0,8,33,29,38,0,80,2,2,1,5,1,0.241
257,Jesus Rodriguez,SFG,43,158,174,40,30,7,1,3,19,15,13,0,31,1,1,1,4,1,0.254
258,Daylen Lile,WSN,90,355,390,93,61,18,5,8,53,40,27,0,74,4,3,1,10,3,0.261
