Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
4/27/25,CHC,PHI,1,3,4,0,0,0,1,1,2,0,0,0,0,0,0.53,0.61,0.58,0.58
4/28/25,WSH,NYM,5,19,24,0,1,0,0,3,3,0,0,0,0,0,0.41,0.57,0.55,0.53
4/28/25,CLE,MIN,1,11,12,0,1,1,1,6,7,0,0,2,2,1,0.54,0.47,0.48,0.48
4/28/25,BAL,NYY,4,3,7,1,0,0,4,0,4,1,0,0,0,0,0.32,0.67,0.63,0.58
4/28/25,CIN,STL,3,1,4,1,0,0,2,1,3,1,0,1,1,1,0.48,0.53,0.52,0.51
4/28/25,HOU,DET,8,5,13,1,1,1,2,3,5,0,0,0,0,0,0.45,0.58,0.57,0.54
4/29/25,SEA,LAA,5,3,8,1,0,0,3,0,3,1,0,0,0,0,0.57,0.68,0.65,0.58
4/29/25,TEX,ATH,15,2,17,1,1,0,4,0,4,1,0,0,0,0,0.65,0.46,0.48,0.48
4/29/25,TB,KC,1,3,4,0,0,0,1,2,3,0,0,1,1,1,0.66,0.56,0.56,0.54
4/29/25,CLE,MIN,2,1,3,1,0,0,1,1,2,0,0,0,0,0,0.61,0.46,0.47,0.5
4/30/25,TEX,ATH,1,7,8,0,0,0,1,1,2,0,0,0,0,0,0.56,0.49,0.49,0.49
4/30/25,LAD,MIA,12,7,19,1,1,1,4,2,6,1,0,0,0,0,0.5,0.73,0.68,0.61
4/30/25,HOU,DET,4,7,11,0,1,1,3,7,10,0,1,0,1,1,0.51,0.63,0.6,0.57
4/30/25,TOR,BOS,7,6,13,1,1,0,0,4,4,0,0,2,2,1,0.58,0.69,0.64,0.56
4/30/25,NYM,AZ,3,4,7,0,0,0,1,0,1,1,0,0,0,0,0.58,0.46,0.48,0.51
4/30/25,PHI,WSH,7,2,9,1,1,1,5,2,7,1,3,0,3,1,0.75,0.49,0.52,0.5
5/1/25,TOR,BOS,4,2,6,1,0,0,0,2,2,0,0,0,0,0,0.45,0.67,0.63,0.56
5/1/25,PHI,WSH,2,4,6,0,0,0,1,0,1,1,0,0,0,0,0.43,0.66,0.62,0.57
5/1/25,LAA,DET,4,10,14,0,1,1,4,2,6,1,0,0,0,0,0.43,0.49,0.49,0.49
5/2/25,MIL,CHC,0,10,10,0,1,1,0,9,9,0,0,2,2,1,0.39,0.62,0.58,0.55
5/2/25,TOR,CLE,5,3,8,1,0,1,3,2,5,1,0,0,0,0,0.57,0.56,0.56,0.53
5/2/25,STL,NYM,3,9,12,0,1,1,3,6,9,0,1,0,1,1,0.51,0.4,0.43,0.47
5/2/25,LAA,DET,1,9,10,0,1,0,1,0,1,1,1,0,1,1,0.34,0.25,0.29,0.41
5/2/25,CIN,WSH,6,1,7,1,0,1,5,1,6,1,2,0,2,1,0.55,0.57,0.55,0.53
5/2/25,NYY,TB,3,0,3,1,0,0,3,0,3,1,0,0,0,0,0.71,0.57,0.58,0.57
5/2/25,BOS,MIN,6,1,7,1,0,0,1,1,2,0,1,0,1,1,0.51,0.45,0.46,0.48
5/2/25,ATL,LAD,1,2,3,0,0,0,0,1,1,0,0,0,0,0,0.31,0.45,0.45,0.49
5/4/25,MIL,CHC,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0.54,0.57,0.56,0.55
5/4/25,CIN,WSH,1,4,5,0,0,0,1,1,2,0,0,0,0,0,0.42,0.42,0.45,0.47
5/4/25,ATL,LAD,4,3,7,1,0,1,4,1,5,1,2,0,2,1,0.46,0.55,0.55,0.54
5/4/25,BOS,MIN,4,5,9,0,1,0,3,1,4,1,0,1,1,1,0.73,0.37,0.42,0.46
5/5/25,AZ,NYM,4,5,9,0,1,0,1,2,3,0,1,0,1,1,0.52,0.57,0.56,0.54
5/5/25,MIA,LAD,4,7,11,0,1,1,0,5,5,0,0,1,1,1,0.39,0.49,0.48,0.49
5/5/25,ATL,CIN,4,0,4,1,0,0,4,0,4,1,0,0,0,0,0.61,0.38,0.4,0.44
5/6/25,ATH,SEA,3,5,8,0,0,0,2,2,4,0,1,1,2,1,0.54,0.63,0.61,0.56
5/6/25,CHC,SF,5,14,19,0,1,1,3,5,8,0,0,0,0,0,0.58,0.55,0.54,0.53
5/6/25,MIL,HOU,4,3,7,1,0,0,4,0,4,1,4,0,4,1,0.52,0.64,0.61,0.56
5/6/25,ATL,CIN,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0.73,0.35,0.41,0.46
5/6/25,BOS,TEX,1,6,7,0,0,1,0,6,6,0,0,1,1,1,0.31,0.56,0.55,0.53
5/7/25,LAA,TOR,5,4,9,1,1,0,0,0,0,0,0,0,0,0,0.52,0.64,0.6,0.56
5/7/25,STL,PIT,5,0,5,1,0,0,3,0,3,1,0,0,0,0,0.62,0.28,0.33,0.41
5/7/25,MIA,LAD,1,10,11,0,1,0,0,0,0,0,0,0,0,0,0.45,0.64,0.61,0.58
5/7/25,BOS,TEX,6,4,10,1,1,1,2,3,5,0,0,0,0,0,0.41,0.57,0.56,0.53
5/7/25,TB,PHI,0,7,7,0,0,1,0,6,6,0,0,0,0,0,0.4,0.39,0.42,0.48
5/7/25,WSH,CLE,6,8,14,0,1,0,3,0,3,1,0,0,0,0,0.55,0.47,0.48,0.49
5/8/25,AZ,LAD,5,3,8,1,0,1,5,0,5,1,0,0,0,0,0.31,0.48,0.48,0.51
5/8/25,LAA,TOR,5,8,13,0,1,1,4,3,7,1,2,0,2,1,0.5,0.5,0.51,0.51
5/8/25,ATL,CIN,5,4,9,1,1,0,2,1,3,1,1,0,1,1,0.57,0.32,0.38,0.43
5/8/25,TB,PHI,6,7,13,0,1,0,2,1,3,1,1,1,2,1,0.37,0.51,0.5,0.5
5/10/25,MIN,SF,2,1,3,1,0,0,2,1,3,1,0,0,0,0,0.37,0.33,0.36,0.44
5/10/25,AZ,LAD,3,0,3,1,0,0,1,0,1,1,0,0,0,0,0.56,0.49,0.51,0.53
5/10/25,WSH,STL,2,4,6,0,0,0,0,4,4,0,0,0,0,0,0.48,0.49,0.48,0.48
5/10/25,DET,TEX,3,10,13,0,1,1,2,7,9,0,1,2,3,1,0.35,0.4,0.41,0.47
5/11/25,WSH,STL,1,6,7,0,0,0,1,2,3,0,0,1,1,1,0.61,0.5,0.52,0.5
5/11/25,HOU,CIN,6,0,6,1,0,0,4,0,4,1,0,0,0,0,0.64,0.63,0.61,0.56
5/11/25,KC,BOS,1,3,4,0,0,0,1,1,2,0,0,0,0,0,0.55,0.5,0.53,0.55
5/12/25,SF,AZ,1,2,3,0,0,0,1,2,3,0,0,0,0,0,0.42,0.43,0.44,0.46
5/12/25,SEA,NYY,5,11,16,0,1,1,2,7,9,0,1,0,1,1,0.44,0.59,0.57,0.55
5/12/25,HOU,KC,5,7,12,0,1,1,0,7,7,0,0,0,0,0,0.54,0.52,0.52,0.55
5/12/25,DET,BOS,14,2,16,1,1,1,12,0,12,1,2,0,2,1,0.46,0.63,0.6,0.56
5/12/25,ATL,WSH,4,3,7,1,0,0,3,1,4,1,0,0,0,0,0.61,0.53,0.54,0.51
5/13/25,SEA,NYY,2,1,3,1,0,0,1,0,1,1,0,0,0,0,0.47,0.36,0.4,0.47
5/13/25,SF,AZ,10,6,16,1,1,1,7,3,10,1,0,3,3,1,0.51,0.46,0.47,0.51
5/13/25,CHC,MIA,5,4,9,1,1,0,2,2,4,0,0,0,0,0,0.75,0.57,0.58,0.56
5/13/25,LAD,ATH,1,11,12,0,1,1,1,6,7,0,0,0,0,0,0.41,0.82,0.76,0.65
5/13/25,DET,BOS,10,9,19,1,1,1,3,4,7,0,1,0,1,1,0.55,0.48,0.48,0.49
5/13/25,ATL,WSH,5,2,7,1,0,1,3,2,5,1,0,1,1,1,0.6,0.39,0.41,0.48
5/14/25,SEA,NYY,2,3,5,0,0,0,2,0,2,1,0,0,0,0,0.48,0.5,0.5,0.52
5/14/25,LAD,ATH,9,3,12,1,1,1,3,3,6,0,1,0,1,1,0.76,0.67,0.65,0.57
5/14/25,CHC,MIA,1,3,4,0,0,0,1,3,4,0,0,0,0,0,0.5,0.52,0.52,0.51
5/14/25,CLE,MIL,5,9,14,0,1,0,2,2,4,0,0,0,0,0,0.45,0.5,0.49,0.51
5/14/25,DET,BOS,6,5,11,1,1,0,2,2,4,0,0,1,1,1,0.72,0.34,0.4,0.45
