#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
208,José Alvarado,PHI,3,1,3.3,35,0,32,134,26,13,12,2,12,2,39,,,,
209,Chris Paddack,CIN,3,6,5.11,17,15,82,355,89,51,47,16,22,2,66,,,,
210,Keaton Winn,SFG,2,2,3.9,21,6,41,176,40,19,18,4,13,2,37,,,,
211,Jonathan Cannon,CHW,3,6,4.98,15,12,69,302,73,41,38,10,25,4,52,,,,
212,Dylan Lee,ATL,3,1,3.13,43,0,41,168,35,16,14,5,11,0,49,,,,
213,Matt Brash,SEA,3,2,3.09,35,1,34,142,28,13,12,2,13,2,39,,,,
214,Brandon Young,BAL,3,4,4.72,12,12,57,248,60,33,30,9,19,1,48,,,,
215,Duncan Davitt,CHW,3,5,4.85,14,13,66,287,70,39,36,10,21,4,51,,,,
216,Trevor McDonald,SFG,4,5,4.19,17,13,78,335,78,40,37,9,25,9,64,,,,
217,Lucas Giolito,SDP,4,5,4.33,15,15,78,333,71,41,37,13,31,3,73,,,,
218,Walker Buehler,SDP,4,5,4.61,16,15,76,331,76,42,39,11,29,5,66,,,,
219,Ryan Johnson,LAA,2,3,4.65,16,7,42,183,43,23,22,6,15,1,38,,,,
220,Jake Woodford,MIL,3,3,4.04,21,7,60,251,56,29,27,7,19,3,45,,,,
221,Christian Scott,NYM,2,2,4.34,10,10,43,183,40,23,21,5,15,4,41,,,,
222,Cal Quantrill,TEX,3,5,5.12,16,13,70,304,72,43,40,10,24,4,52,,,,
223,Devin Williams,NYM,5,3,3.34,40,0,38,155,25,15,14,3,17,2,52,,,,
224,Brad Lord,WSN,3,4,4.48,27,9,71,304,72,38,35,9,21,5,54,,,,
225,Jared Koenig,MIL,3,2,3.68,31,3,40,169,36,18,16,4,14,2,40,,,,
226,Graham Ashcraft,CIN,3,3,4.09,43,0,45,192,41,22,20,3,18,2,45,,,,
227,Jose Quintana,COL,4,6,4.94,16,15,78,351,87,46,43,10,34,3,48,,,,
228,Jonathan Pintaro,NYM,2,2,4.19,14,8,39,172,38,20,18,4,17,4,38,,,,
229,Brendan Beck,NYY,4,4,4.6,12,11,58,248,58,32,30,9,16,2,45,,,,
230,Jacob Latz,TEX,1,2,4.36,28,4,51,218,45,27,24,6,23,1,50,,,,
231,Daniel Lynch IV,KCR,2,3,4.12,29,7,59,254,58,29,27,7,20,3,51,,,,
232,Michael Lorenzen,COL,4,7,5.01,17,17,88,387,95,53,49,15,32,4,65,,,,
233,Raisel Iglesias,ATL,3,1,3.18,37,0,36,146,30,14,13,4,8,1,40,,,,
234,Orion Kerkering,PHI,4,3,3.59,45,0,40,168,35,17,16,4,15,3,45,,,,
235,Will Vest,DET,4,3,3.54,38,0,40,168,35,17,16,3,13,1,41,,,,
236,Pete Fairbanks,MIA,3,2,3.39,36,0,34,142,28,14,13,3,13,1,38,,,,
237,Andrés Muñoz,SEA,4,2,3.12,40,0,40,163,28,15,14,4,15,3,54,,,,
238,Edwin Díaz,LAD,3,1,3.27,32,0,33,136,24,13,12,4,13,3,48,,,,
239,Ryan Gusto,MIA,3,4,4.63,13,9,53,233,56,30,27,7,20,2,44,,,,
240,Jake Irvin,WSN,5,7,4.81,19,19,100,432,101,58,53,16,35,6,82,,,,
241,Robbie Ray,SFG,5,7,4.43,18,18,98,424,93,53,48,16,39,3,96,,,,
242,Mason Englert,TBR,2,2,4.18,25,3,45,189,44,23,21,6,12,2,40,,,,
243,Gregory Soto,PIT,2,2,3.52,42,0,37,158,32,16,14,2,16,4,43,,,,
244,Abner Uribe,MIL,3,1,3.18,44,0,44,185,32,17,16,4,21,3,52,,,,
245,Bradgley Rodriguez,SDP,3,2,3.68,35,1,40,167,34,18,16,3,15,3,37,,,,
246,Luis Morales,ATH,3,5,4.79,17,12,67,291,64,38,35,10,29,2,60,,,,
247,Jedixson Paez,BOS,2,3,4.79,12,7,42,180,45,24,22,7,11,2,33,,,,
248,Ryan Helsley,BAL,3,2,3.23,34,0,34,143,28,13,12,3,13,1,41,,,,
