#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
572,Craig Kimbrel,TBR,2,3,4.57,33,0,31,134,27,17,16,4,16,2,34,,,,
573,Connor Brogdon,CLE,2,3,4.64,32,1,36,155,35,20,18,6,14,2,37,,,,
574,Nick Davila,SEA,2,2,4.78,18,3,33,145,35,19,18,4,12,1,22,,,,
575,Alec Gamboa,BOS,2,3,5.01,11,3,28,130,31,17,16,3,15,1,18,,,,
576,Zach Pop,PHI,1,2,4.93,24,0,24,105,25,14,13,3,8,1,19,,,,
577,Cionel Pérez,NYM,2,2,4.88,30,0,30,136,30,18,16,2,17,2,24,,,,
578,Steven Cruz,KCR,1,2,4.98,32,1,32,139,29,19,18,5,15,2,33,,,,
579,Yohan Ramírez,PIT,2,3,4.36,33,0,41,179,37,22,20,4,19,9,45,,,,
580,Cody Bolton,HOU,1,1,4.73,18,3,30,134,29,17,16,4,16,2,27,,,,
581,George Soriano,STL,2,2,4.71,34,1,45,196,43,26,24,6,18,4,42,,,,
582,Taijuan Walker,LAA,3,6,5.55,17,12,69,306,76,46,42,13,26,3,48,,,,
583,Roddery Muñoz,HOU,2,3,4.93,19,5,46,201,42,27,25,9,23,2,50,,,,
584,Alek Jacob,SDP,1,2,4.78,26,0,31,134,29,18,16,4,13,4,29,,,,
585,Domingo Gonzalez,SEA,1,2,4.32,23,1,32,140,30,17,15,4,15,3,29,,,,
586,Corbin Martin,CHC,1,2,5.12,21,2,31,138,30,19,17,4,17,1,29,,,,
587,Justin Bruihl,STL,1,2,4.53,36,0,37,160,35,20,18,3,16,5,31,,,,
588,Trent Thornton,CHC,2,2,4.52,23,0,27,113,26,15,13,4,8,1,21,,,,
589,Burch Smith,DET,1,1,4.86,19,0,22,98,23,13,12,3,9,1,21,,,,
590,Josh Ekness,MIA,1,2,4.54,26,0,30,131,28,16,15,3,15,5,29,,,,
591,Luis Curvelo,TEX,1,2,5.22,26,0,31,134,30,20,18,5,12,2,28,,,,
592,Chris Roycroft,STL,2,2,4.62,28,0,35,157,36,20,18,4,18,2,28,,,,
593,Eric Cerantola,KCR,1,2,4.91,19,2,29,130,27,17,16,4,17,3,30,,,,
594,Zach Agnos,COL,1,2,4.94,27,0,36,158,37,22,20,5,13,1,28,,,,
595,Josh Fleming,TOR,2,3,4.81,20,2,40,177,47,23,21,5,12,2,19,,,,
596,Andre Granillo,WSN,1,2,4.98,25,0,33,148,33,20,18,5,16,1,31,,,,
597,Logan VanWey,HOU,1,1,4.58,21,0,24,105,22,13,12,3,13,2,24,,,,
598,Aaron Bummer,CHC,1,2,4.84,30,1,31,137,31,18,17,4,14,3,32,,,,
599,Angel Chivilli,NYY,1,2,5.09,27,0,36,154,34,22,20,6,14,2,35,,,,
600,Eli Morgan,KCR,1,2,4.87,24,0,28,124,29,17,15,5,11,1,24,,,,
601,Ryan Rolison,CHC,2,2,4.8,26,2,38,168,39,22,20,6,15,1,31,,,,
602,Rolddy Muñoz,ATL,1,1,4.81,20,2,30,136,31,18,16,4,16,2,27,,,,
603,Tony Santillan,CIN,2,3,5.16,45,0,42,182,39,26,24,7,20,3,44,,,,
604,Cole Henry,WSN,1,2,5.22,27,1,28,124,25,18,16,4,16,4,28,,,,
605,Gavin Hollowell,CHC,1,2,5.09,19,0,23,101,21,14,13,3,13,2,23,,,,
606,Josh Simpson,SEA,2,2,4.85,26,1,29,126,26,17,15,4,15,2,32,,,,
607,Zach Maxwell,CIN,1,2,5.24,30,0,31,138,29,19,18,5,18,1,33,,,,
608,Joel Peguero,SFG,1,2,4.41,27,0,32,141,33,17,16,3,14,2,23,,,,
609,Wyatt Mills,LAD,1,2,5.58,18,3,24,110,24,16,15,4,14,4,21,,,,
610,Yovanny Cruz,NYY,1,2,5.06,16,0,25,109,23,15,14,4,13,4,24,,,,
611,Luis Mey,CIN,2,3,5.5,30,0,31,141,29,20,19,4,21,3,33,,,,
612,William Kempner,MIA,2,3,5.13,23,1,29,132,28,18,17,4,17,4,28,,,,
613,Lucas Sims,CHW,1,3,5.97,28,0,26,120,23,19,17,4,19,4,26,,,,
614,David Sandlin,CHW,2,4,4.92,14,7,45,199,49,27,25,7,15,1,38,,,,
615,Kade Morris,ATH,0,0,4.1,19,6,0,0,,37,163,34,18,17,5,15,,2,36
