#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
827,Tyron Guerrero,BOS,1,1,5.07,23,0,0,1,0,23.2,107,25,15,13,3,11,1,1,19
828,Kendall Graveman,,1,1,4.81,25,0,0,2,1,25.1,111,24,15,13,3,12,0,2,20
829,Dylan Ray,ARI,1,1,5.36,3,0,0,0,0,14.1,64,16,9,9,2,6,0,0,9
830,Marc Church,TEX,1,1,4.72,24,0,0,2,2,25,110,23,14,13,3,13,0,1,23
831,Carlos Vargas,SEA,3,3,4.1,51,0,0,10,3,53.2,231,52,27,24,6,19,2,3,42
832,Antonio Senzatela,COL,3,5,5.49,39,6,0,4,0,75,337,91,50,46,12,25,1,3,47
833,Brandan Bidois,PIT,2,3,4.6,41,0,0,4,0,43.2,191,41,24,22,6,21,1,2,40
834,Dom Hamel,NYY,1,1,4.47,30,1,0,1,0,34,151,32,18,17,4,14,0,5,31
835,Ken Waldichuk,WSN,2,2,4.61,29,1,0,2,0,36.1,162,34,20,19,5,19,0,2,35
836,Christian Roa,CHC,1,1,4.46,26,0,0,0,0,28.1,125,26,15,14,4,15,0,2,27
837,Ryan Zeferjahn,LAA,3,3,4.4,58,0,1,14,3,60.1,263,52,32,29,9,32,2,4,66
838,Luis Guerrero,TBR,1,1,4.7,18,0,0,1,0,20.1,90,18,12,11,3,11,0,1,18
839,Dan Altavilla,KCR,1,2,4.72,37,0,0,2,1,38,169,36,22,20,5,19,1,3,32
840,Eli Morgan,KCR,1,1,4.78,24,0,0,1,2,26.1,113,26,15,14,4,9,1,1,22
841,Thomas Hatch,ARI,1,0,5.81,4,0,0,0,0,10.2,49,12,7,7,2,5,0,1,7
842,Hunter Strickland,,1,1,4.8,24,0,0,1,1,25.2,113,25,15,14,4,12,1,1,21
843,Scott McGough,,1,1,5.08,23,0,0,2,1,26,114,25,16,15,5,12,0,1,24
844,Roddery Muñoz,HOU,2,3,4.75,40,1,0,7,0,48,209,44,28,25,8,23,1,2,48
845,Luis Peralta,CHC,1,2,5.28,26,0,0,1,2,26,121,27,17,15,4,16,0,2,24
846,Kaleb Ort,LAA,2,2,4.62,36,0,0,3,0,37,159,32,21,19,6,17,1,2,37
847,Jayvien Sandridge,BAL,1,1,4.63,17,0,0,1,0,17.2,81,16,10,9,3,11,0,3,19
848,Yilber Díaz,ARI,1,1,4.58,17,0,0,1,0,21,95,20,12,11,3,14,0,1,20
849,Cole Henry,WSN,2,3,4.72,62,0,12,13,1,62.1,276,57,35,33,9,33,1,6,59
850,Rico Garcia,BAL,2,2,4.41,47,0,0,12,1,50.2,220,47,27,25,8,23,1,2,51
851,Orlando Ribalta,WSN,1,2,4.9,39,0,0,4,1,40.2,182,40,24,22,6,22,1,2,38
852,Wikelman González,CHW,2,2,4.62,39,0,0,2,0,43.2,195,39,24,22,5,27,1,3,42
