#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
458,Matt Strahm,KCR,2,1,3.78,30,0,30,127,26,13,13,4,10,1,33
459,Daniel Duarte,NYM,1,1,4.05,30,0,30,131,28,15,14,3,14,1,28
460,Cade Povich,BAL,2,2,3.96,16,3,30,127,28,14,13,4,11,1,29
461,Cody Laweryson,MIN,1,2,4.37,30,0,29.2,130,30,16,14,4,11,1,26
462,Hunter Stratton,ATL,1,1,4.2,30,0,29.2,129,29,15,14,4,12,1,27
463,PJ Poulin,WSN,1,2,4.11,30,0,29.2,131,29,15,14,3,14,1,27
464,Josh Ekness,MIA,1,2,4.27,30,0,29.2,131,28,15,14,3,15,2,28
465,Connor Phillips,CIN,1,2,4.71,30,0,29.2,133,27,17,16,4,17,2,32
466,Nick Pivetta,SDP,2,2,3.84,5,5,29.2,124,26,14,13,4,10,1,33
467,Jonathan Heasley,TBR,1,2,4.61,30,0,29.2,128,31,16,15,5,9,1,22
468,Jonathan Hernández,LAD,2,1,4.02,29,0,29.1,128,28,14,13,3,14,1,28
469,Trevor Richards,CHW,1,2,4.43,29,0,29.1,128,27,15,14,5,13,1,29
470,Matt Svanson,STL,1,1,3.92,29,0,29.1,127,28,14,13,3,12,2,27
471,Caden Dana,LAA,1,2,5,5,5,29.1,130,30,17,16,5,14,1,24
472,Coleman Crow,MIL,2,2,4.03,14,3,29.1,124,28,14,13,4,9,1,27
473,Jordan Montgomery,TEX,2,2,4.17,10,4,29.1,125,30,15,14,4,9,1,23
474,Trevor Martin,TBR,1,2,4.44,29,0,29,126,29,15,14,4,11,1,24
475,Jordan Wicks,CHC,2,2,3.98,15,3,29,124,29,14,13,4,10,1,24
476,Robert Garcia,TEX,1,1,3.52,29,0,28.2,122,25,12,11,3,12,1,31
477,Zach Pop,PHI,1,1,4.16,29,0,28.2,125,29,15,13,3,11,1,23
478,Yimi García,TOR,1,1,3.57,29,0,28.2,120,24,12,11,3,11,1,32
479,Tayler Saucedo,LAA,1,1,4.06,29,0,28.2,125,27,14,13,3,14,2,25
480,Robinson Ortiz,SEA,1,1,4.1,29,0,28.2,126,26,14,13,3,16,1,26
481,Jason Alexander,HOU,1,2,4.28,19,2,28.1,122,29,15,13,4,9,1,22
482,Chris Paddack,CIN,1,2,4.97,5,5,28.1,123,31,17,16,5,8,1,22
483,Franco Aleman,CLE,1,1,3.86,28,0,28.1,122,25,13,12,3,13,1,30
484,Jonah Tong,NYM,2,1,3.48,14,3,28,119,23,12,11,3,13,1,32
485,Kyle Hart,SDP,1,1,3.93,28,0,27.2,119,27,13,12,3,10,1,24
486,Andrew Hoffmann,ARI,1,1,4.35,28,0,27.2,122,28,14,13,3,12,1,23
487,Tyler Samaniego,BOS,1,1,4.42,28,0,27.2,123,28,15,14,3,13,1,22
488,Zach Maxwell,CIN,1,1,4.63,28,0,27.2,124,25,15,14,4,17,1,28
489,Ryan Walker,SFG,1,1,3.5,27,0,27.1,116,24,12,11,2,11,2,28
490,Brady Basso,ATH,1,1,3.9,27,0,27.1,117,27,13,12,3,9,1,24
491,Paul Gervase,LAD,1,1,4.37,27,0,27.1,121,24,14,13,4,15,1,28
492,Eli Morgan,KCR,1,1,4.81,27,0,27.1,121,28,16,15,4,11,1,23
493,Yovanny Cruz,NYY,1,1,4.66,27,0,27.1,124,26,15,14,4,16,2,25
494,Brant Hurter,DET,1,1,3.62,27,0,27.1,116,26,12,11,3,9,2,24
495,Victor Vodnik,COL,1,1,4.53,27,0,27.1,121,28,15,14,3,14,1,26
496,Najer Victor,LAA,1,1,4.46,27,0,27.1,121,25,15,13,3,16,1,27
497,Isaac Mattson,PIT,1,1,4.58,27,0,27.1,120,26,15,14,4,13,1,24
498,Josh Simpson,SEA,1,1,3.96,27,0,27.1,119,24,13,12,3,15,1,27
499,Philip Abner,ARI,1,1,4.07,27,0,27,117,27,13,12,3,11,1,23
