Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
321,Isaac Collins,KCR,84,266,313,62,40,13,3,6,38,31,39,1,69,5,2,1,9,5,0.232
322,A.J. Ewing,NYM,79,309,344,77,55,14,5,3,46,35,30,1,78,2,2,1,22,6,0.249
323,Casey Schmitt,SFG,82,282,308,74,48,14,1,11,35,40,18,1,67,5,2,1,3,1,0.261
324,Ildemaro Vargas,ARI,70,244,261,66,48,11,2,5,29,34,13,0,28,2,1,2,2,1,0.269
325,Hyeseong Kim,LAD,78,226,245,54,40,8,2,4,29,30,13,0,70,3,2,1,16,2,0.239
326,Brooks Lee,MIN,91,332,359,82,56,15,2,9,37,42,23,1,63,2,2,0,3,2,0.246
327,Christian Vázquez,HOU,56,171,188,39,28,6,0,4,16,19,13,0,36,1,1,2,1,1,0.227
328,Carson Benge,NYM,85,323,363,80,54,14,3,8,49,42,33,1,76,5,2,0,9,2,0.247
329,Dane Myers,CIN,77,221,246,56,39,8,1,7,31,32,20,0,61,4,2,0,9,2,0.252
330,Christian Koss,SFG,55,163,178,41,29,8,1,3,22,19,9,0,40,3,1,2,3,2,0.249
331,Ke'Bryan Hayes,CIN,89,305,332,69,51,11,2,6,33,30,23,1,64,2,2,0,6,2,0.226
332,Joey Bart,PIT,61,183,208,43,31,7,0,5,22,21,19,0,60,4,1,0,1,1,0.238
333,Alika Williams,ATH,63,197,218,48,35,8,1,4,25,20,14,0,44,3,1,2,2,1,0.241
334,Taylor Walls,TBR,77,220,253,47,31,10,2,3,32,24,28,0,60,1,1,3,10,3,0.212
335,Victor Caratini,MIN,69,205,235,48,36,6,0,5,19,26,19,0,42,8,3,0,1,0,0.234
336,Blake Dunn,CIN,75,247,286,61,45,9,2,6,39,32,25,0,79,8,2,3,11,2,0.248
337,César Salazar,HOU,45,135,158,29,20,5,0,3,16,18,14,0,29,7,1,1,1,1,0.212
338,Tristan Gray,MIN,73,245,269,55,33,13,1,8,29,34,18,1,81,3,2,1,1,1,0.225
339,Jorge Mateo,ATL,63,168,182,39,25,9,2,4,27,18,11,0,50,1,1,1,14,3,0.233
340,Tyler O'Neill,BAL,62,206,236,47,29,7,1,10,31,30,25,1,63,3,1,0,3,1,0.228
341,Brady House,WSN,93,344,368,85,57,16,1,11,43,48,19,1,101,3,2,0,3,2,0.246
342,JJ Bleday,CIN,83,287,327,68,36,16,1,15,44,48,37,1,72,1,2,0,2,2,0.237
343,Rhys Hoskins,CLE,75,245,289,54,30,13,1,11,33,34,38,1,79,3,3,0,1,1,0.222
344,Jeremiah Jackson,BAL,91,330,350,80,52,16,1,12,35,47,15,0,79,3,3,0,5,3,0.243
345,Chase DeLauter,CLE,45,165,186,42,26,11,0,5,21,25,20,0,27,0,1,0,1,1,0.257
346,Ryan Mountcastle,BAL,66,239,257,62,40,13,1,9,28,32,15,0,63,2,2,0,2,0,0.261
347,Jake Bauers,MIL,76,220,252,53,29,12,1,11,34,37,29,2,70,2,1,0,7,2,0.242
348,Jorbit Vivas,WSN,86,292,335,68,50,13,2,4,39,28,30,1,45,9,2,1,5,3,0.234
349,Michael Massey,KCR,78,258,276,63,41,14,1,7,28,31,13,0,53,3,2,1,3,1,0.245
350,Graham Pauley,MIA,76,251,279,55,34,13,1,7,31,32,23,1,58,3,1,1,4,1,0.219
351,Lane Thomas,KCR,82,269,306,63,40,12,3,9,36,37,30,0,77,4,2,0,10,5,0.235
352,Mark Vientos,NYM,90,324,353,80,49,16,1,15,38,50,24,0,90,4,2,0,1,0,0.248
353,Willi Castro,COL,88,288,325,74,49,15,3,7,45,32,26,1,78,7,2,1,9,4,0.255
354,Angel Martínez,CLE,92,322,352,77,48,18,2,9,41,40,20,0,75,5,2,4,7,3,0.238
355,Jose Trevino,CIN,53,149,161,34,24,6,1,3,16,16,9,0,23,1,1,1,0,0,0.229
356,Dustin Harris,CHW,73,265,297,66,45,12,2,6,38,32,25,1,66,4,2,1,14,3,0.249
357,Zach Cole,HOU,70,253,284,53,29,11,3,10,32,39,25,1,115,5,2,0,9,3,0.21
358,Garrett Mitchell,MIL,53,163,188,37,23,8,2,4,23,24,22,0,63,2,1,1,8,2,0.226
359,Richie Palacios,TBR,72,219,253,51,38,9,1,3,31,25,28,1,51,4,2,1,10,3,0.234
360,Zach McKinstry,DET,86,259,288,60,40,11,3,5,31,26,25,1,60,3,1,1,9,2,0.233
361,Sam Haggerty,TEX,66,166,187,40,28,8,2,2,24,18,16,1,42,3,1,1,9,2,0.242
362,Tyler Black,MIL,64,234,270,55,36,11,3,5,33,34,30,1,66,5,1,0,11,3,0.236
363,Juan Brito,CLE,70,262,298,58,36,14,1,6,35,32,29,1,64,4,2,2,3,3,0.222
364,Jhostynxon Garcia,PIT,68,252,275,60,39,10,2,8,35,29,18,0,78,3,2,1,3,1,0.237
365,Miguel Amaya,CHC,56,160,181,38,26,7,1,5,19,23,14,0,38,5,1,2,0,0,0.238
366,Henry Davis,PIT,70,224,255,47,29,10,1,7,28,27,21,1,60,7,1,2,3,1,0.209
367,Wade Meckler,LAA,57,207,234,56,42,9,2,3,26,22,24,1,46,1,1,1,4,2,0.268
368,Chad Stevens,COL,70,251,280,62,40,13,2,7,32,32,23,0,83,4,2,1,6,3,0.246
369,Matt Vierling,DET,80,269,298,65,41,14,2,8,34,34,25,1,65,2,3,0,4,2,0.24
370,Starling Marte,KCR,55,181,200,49,36,9,1,3,22,18,13,0,43,4,1,1,6,2,0.271
371,Derek Hill,CHW,67,191,211,46,32,7,2,6,27,22,15,0,61,2,1,2,8,3,0.239
372,Travis d'Arnaud,LAA,46,143,157,30,18,7,1,5,16,16,10,0,44,4,1,0,0,0,0.213
373,Dylan Carlson,PHI,63,176,203,40,27,8,1,4,23,21,23,0,47,3,1,0,2,1,0.228
374,Gavin Sheets,SDP,97,300,332,73,43,17,1,13,33,44,28,1,67,3,2,0,2,1,0.244
375,Andy Ibáñez,NYM,69,185,204,44,29,10,1,4,21,24,14,0,39,2,2,0,3,1,0.237
376,Drew Gilbert,SFG,80,280,312,64,42,12,3,7,32,34,24,0,60,5,2,0,3,2,0.229
377,Ryan Kreidler,MIN,64,200,232,41,25,10,1,5,26,24,26,0,70,3,1,2,6,3,0.204
378,Kevin Alcántara,CHC,65,238,261,56,38,11,1,7,30,30,20,0,85,2,2,0,4,2,0.236
379,Donovan Walton,LAA,62,211,236,49,36,9,1,4,27,23,18,1,39,3,1,2,2,1,0.234
380,Tyler Heineman,TOR,45,113,130,23,18,3,1,2,14,12,9,0,25,4,1,4,2,1,0.206
