#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
97,Salvador Perez,KCR,141,533,577,133,82,25,1,27,61,88,29,5,118,10,4,0,0,0,0.25
98,Kyle Stowers,MIA,130,478,543,116,67,23,3,24,65,78,54,2,154,7,4,1,4,1,0.243
99,Otto Lopez,MIA,136,517,563,137,97,25,3,12,63,61,38,1,86,4,4,1,16,5,0.265
100,Jakob Marsee,MIA,131,488,564,116,77,23,4,12,70,55,62,0,124,7,3,4,33,9,0.237
101,Ryan Jeffers,MIN,127,444,505,108,69,23,1,16,57,57,47,1,106,9,3,2,3,1,0.242
102,Trevor Story,BOS,136,530,575,131,84,26,1,20,72,72,35,2,157,5,3,1,22,5,0.248
103,Randy Arozarena,SEA,151,563,651,131,80,26,2,23,86,73,64,1,170,19,4,1,24,7,0.233
104,Ceddanne Rafaela,BOS,140,521,559,131,84,28,4,16,70,64,26,1,121,7,4,2,20,6,0.251
105,Josh Naylor,SEA,143,544,604,142,93,28,0,22,74,86,50,5,89,5,5,0,17,4,0.262
106,Brandon Lowe,PIT,124,475,527,115,69,22,1,23,67,72,43,1,136,4,4,0,4,1,0.241
107,Austin Wells,NYY,117,394,441,87,50,19,1,18,49,58,36,0,109,5,5,1,4,1,0.222
108,Iván Herrera,STL,129,474,543,127,87,22,1,17,68,67,54,1,109,11,4,0,9,3,0.268
109,Jarren Duran,BOS,142,554,615,144,86,35,7,17,82,70,49,1,144,8,3,1,23,5,0.26
110,Konnor Griffin,PIT,94,356,392,91,64,16,1,10,52,45,24,1,96,8,2,1,18,4,0.257
111,Jackson Holliday,BAL,118,448,505,111,74,22,2,13,66,49,50,1,112,4,2,1,13,5,0.248
112,Alec Bohm,PHI,133,515,562,140,98,26,2,14,64,70,36,1,88,5,6,0,3,1,0.273
113,Colton Cowser,BAL,128,453,513,103,60,22,1,21,64,62,49,1,161,7,3,1,13,3,0.227
114,Daulton Varsho,TOR,133,493,546,110,59,22,3,26,71,74,43,1,142,4,5,1,8,2,0.223
115,Andrés Giménez,TOR,138,505,558,124,88,23,2,11,63,55,32,1,98,14,4,3,20,4,0.245
116,Wilyer Abreu,BOS,125,447,505,110,62,24,1,22,64,70,51,3,125,2,4,1,8,3,0.245
117,Lawrence Butler,ATH,134,500,553,120,72,25,2,21,71,64,47,0,145,1,3,1,18,4,0.24
118,Francisco Alvarez,NYM,111,379,427,88,53,15,1,19,51,57,39,1,110,6,2,1,1,0,0.233
119,Jordan Westburg,BAL,93,362,394,94,58,19,2,16,54,50,25,0,89,5,2,1,4,2,0.261
120,Colson Montgomery,CHW,130,492,551,108,63,19,2,23,62,69,47,2,163,9,3,1,2,1,0.219
121,Luis Robert Jr.,NYM,127,475,523,111,70,21,1,20,66,62,39,3,147,5,3,1,29,7,0.234
122,Carson Kelly,CHC,95,323,364,76,50,13,1,12,40,42,34,0,74,4,3,1,2,0,0.234
