#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
673,Paul Gervase,LAD,1,1,4.77,27,0,0,0,,17.2,78,16,10,9,3,9,1,1,17
674,Adbert Alzolay,NYM,1,0,4.94,16,0,0,0,,11,47,11,6,6,2,3,0,1,9
675,Mike Clevinger,PIT,0,0,5.27,14,0,0,0,,10,44,10,6,6,1,4,0,1,7
676,Germán Márquez,SDP,2,2,5.46,13,5,0,0,,30.2,135,32,20,19,6,12,0,1,23
677,Zack Kelly,BOS,1,1,4.65,27,0,0,0,,19,84,18,11,10,2,9,1,1,15
678,Zach Agnos,COL,2,3,5.7,26,4,0,0,,42.2,193,49,29,27,7,17,1,2,31
679,Jackson Rutledge,PHI,0,0,5.22,10,0,0,0,,8.1,38,9,5,5,1,4,0,1,7
680,Tyler Ferguson,CHC,0,0,4.9,13,0,0,0,,8.2,39,8,5,5,1,5,0,1,8
681,Hagen Danner,CIN,0,0,5.32,11,0,0,0,,7,31,7,4,4,1,3,0,0,6
682,Charlie Barnes,LAD,0,0,5.45,10,0,0,0,,6.1,29,7,4,4,1,3,0,0,5
683,Jordan Hicks,CHW,1,1,4.8,26,0,0,0,,18.1,82,18,11,10,2,9,0,2,14
684,Kyle Nicolas,CIN,1,1,5.01,16,0,0,0,,10.2,48,10,6,6,1,6,0,0,10
685,Tanner Andrews,TOR,1,0,5.09,18,0,0,0,,12.2,56,12,8,7,2,6,0,1,12
686,Brandon Williamson,CIN,1,1,5.06,18,1,0,0,,21.2,96,21,13,12,3,10,1,1,17
687,Austin Voth,TOR,0,0,5.57,8,0,0,0,,5.2,25,6,4,3,1,2,0,0,5
688,Nate Pearson,HOU,1,1,4.81,40,0,1,8,,28.1,125,26,16,15,4,13,1,2,27
689,Cole Henry,WSN,1,1,4.82,34,0,3,9,,23,102,21,13,12,3,12,1,2,21
690,Sean Newcomb,CHW,1,2,4.78,42,0,1,8,,30,132,30,17,16,4,12,1,2,26
691,Jose Quintana,COL,2,4,6.35,8,8,0,0,,40.2,187,50,31,29,7,17,0,2,23
692,DL Hall,MIL,1,1,4.57,41,0,1,8,,29.1,130,27,16,15,4,15,1,2,27
693,Gregory Santos,SFG,1,1,4.98,24,0,0,0,,16,71,17,9,9,1,7,0,1,10
694,Anderson Severino,NYM,0,0,5.33,8,0,0,0,,5.2,26,6,4,3,1,4,0,0,5
695,Caleb Ferguson,CIN,1,1,4.85,34,0,0,3,,23.2,104,24,14,13,3,9,0,2,18
696,Cam Sanders,PIT,1,1,4.97,22,0,0,0,,15.2,71,14,9,9,2,11,1,1,16
697,Bryan Hudson,CHW,1,2,4.73,44,0,1,9,,31.1,139,29,18,17,4,14,1,3,29
698,Nick Raquet,BAL,1,1,4.99,30,0,0,0,,20,90,21,12,11,3,9,1,1,17
699,Tommy Kahnle,BOS,1,0,4.62,15,0,0,0,,10.2,47,10,6,5,1,5,0,0,8
700,Alek Jacob,SDP,1,1,5.04,21,0,0,0,,13.2,61,13,8,8,2,6,0,1,12
701,Luis Morales,ATH,2,2,5.45,25,3,0,0,,36.2,164,38,24,22,6,17,1,2,31
702,Jake Woodford,MIL,1,1,4.84,35,0,0,4,,24.2,109,25,14,13,3,10,1,1,18
703,Burch Smith,DET,1,1,5.35,21,0,0,0,,14.2,65,15,9,9,2,6,0,1,13
704,Carlos Carrasco,ATL,1,1,5.58,20,0,0,0,,13.1,60,15,9,8,2,5,0,1,10
705,Michael Kopech,,1,1,4.82,18,0,0,0,,20.2,93,17,12,11,3,14,1,1,21
706,Michael Kelly,ATH,1,1,5.54,20,0,0,0,,13.2,62,14,9,8,2,7,0,1,11
707,Craig Kimbrel,TBR,1,1,4.93,36,0,0,7,,27.1,120,23,16,15,4,15,1,2,29
708,Jason Alexander,HOU,1,1,5.38,19,2,0,0,,26.2,119,29,17,16,4,11,1,1,20
