#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
406,Charlie Barnes,LAD,6,6,4.49,18,18,106.1,455,104,57,53,16,33,0,6,89
407,Trenton Denholm,CLE,7,8,4.51,23,18,111.2,484,121,61,56,16,30,0,4,75
408,Brandon Young,BAL,5,5,4.5,18,18,84,361,86,45,42,13,24,0,2,72
409,Adam Seminaris,PHI,5,7,4.84,22,18,96.2,429,108,56,52,13,32,0,3,65
410,Spencer Arrighetti,HOU,6,7,4.37,20,18,96.2,421,86,51,47,14,45,0,6,101
411,Austin Gomber,ATL,4,7,5.22,20,18,100,427,105,63,58,18,28,0,1,74
412,Kyle Hart,SDP,6,6,4.4,29,18,106.1,459,105,56,52,16,35,0,7,96
413,Adam Kloffenstein,NYY,5,5,4.88,21,18,92.1,408,89,54,50,12,39,0,9,76
414,Blake Wehunt,BOS,5,5,4.63,18,18,70,309,70,39,36,9,28,0,4,58
415,Santiago Suarez,TBR,4,5,4.92,18,18,82.1,352,87,49,45,14,21,0,1,59
416,Brett Sears,ATL,8,10,4.92,21,18,100.2,432,100,59,55,16,29,0,9,87
417,Marcus Stroman,,5,6,4.76,18,18,90.2,396,92,52,48,12,36,0,4,63
418,Ian Mejia,ATL,6,8,4.69,23,18,109.1,478,115,62,57,16,35,0,7,83
419,Griff McGarry,LAD,3,4,4.76,21,18,68,307,59,39,36,8,43,0,5,77
420,Julian Aguiar,CIN,4,5,5.3,20,18,91.2,401,98,58,54,15,28,0,7,64
421,Jake Bennett,BOS,3,4,4.7,18,18,67,294,72,38,35,9,21,0,4,46
422,Kenta Maeda,,5,6,5.09,24,18,97.1,427,102,59,55,15,35,0,4,76
