#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
575,Corbin Martin,CHC,2,2,5.12,23,2,32,146,31,20,18,5,18,1,30,,,,
576,Domingo Gonzalez,SEA,2,2,4.32,24,1,34,147,32,18,16,4,15,3,31,,,,
577,Josh Ekness,MIA,1,2,4.54,27,0,31,138,29,17,16,3,16,5,31,,,,
578,Chris Roycroft,STL,2,3,4.62,29,0,36,163,37,20,19,4,18,2,29,,,,
579,Justin Bruihl,STL,1,2,4.59,37,0,37,163,36,21,19,4,16,5,31,,,,
580,Luis Curvelo,TEX,1,2,5.22,28,0,33,141,31,21,19,5,13,2,29,,,,
581,Burch Smith,DET,1,1,4.86,20,0,23,103,24,14,12,4,10,1,22,,,,
582,Andre Granillo,WSN,1,2,4.98,27,0,35,156,35,21,19,5,17,1,32,,,,
583,Aaron Bummer,,1,2,4.84,31,1,32,142,33,19,17,5,14,3,33,,,,
584,Josh Fleming,TOR,2,3,4.81,21,2,42,186,49,24,22,5,13,2,20,,,,
585,Eric Cerantola,KCR,1,2,4.91,20,2,31,137,28,18,17,4,18,3,31,,,,
586,Logan VanWey,HOU,1,1,4.58,22,0,25,111,23,14,13,3,14,2,25,,,,
587,Angel Chivilli,NYY,1,2,5.09,29,0,37,162,36,23,21,6,14,3,37,,,,
588,Craig Kimbrel,NYM,2,3,4.65,33,0,31,135,27,17,16,5,16,2,35,,,,
589,Ryan Rolison,CHC,2,2,4.82,27,2,40,173,41,23,21,6,15,1,32,,,,
590,Tony Santillan,CIN,2,3,5.18,47,0,43,188,40,27,25,8,20,3,45,,,,
591,Zach Maxwell,CIN,1,2,5.23,31,0,31,142,30,20,18,5,18,1,35,,,,
592,Rolddy Muñoz,ATL,1,2,4.81,21,2,31,142,32,18,17,4,16,2,28,,,,
593,Joel Peguero,SFG,1,2,4.39,29,0,33,147,34,18,16,3,14,2,24,,,,
594,Cole Henry,WSN,1,2,5.22,29,1,29,130,26,18,17,4,17,4,29,,,,
595,Gavin Hollowell,CHC,1,2,5.09,20,0,24,106,22,15,14,3,13,2,25,,,,
596,Josh Simpson,SEA,2,3,4.85,27,1,30,133,28,18,16,5,16,2,33,,,,
597,Wyatt Mills,LAD,1,2,5.58,19,3,26,116,25,17,16,4,14,4,22,,,,
598,Luis Mey,CIN,2,3,5.5,32,0,32,146,30,21,20,5,22,4,34,,,,
599,Yovanny Cruz,NYY,1,2,5.06,17,0,26,114,24,16,15,4,13,4,25,,,,
600,William Kempner,MIA,2,3,5.13,24,1,31,139,29,19,18,4,17,4,30,,,,
601,Lucas Sims,CHW,1,3,5.97,30,0,27,126,24,20,18,4,20,4,27,,,,
602,Braxton Ashcraft,PIT,5,4,3.51,21,13,83,347,79,35,32,8,22,5,80,,,,
603,Jordan Wicks,CHC,3,2,4.12,14,10,47,200,46,23,21,6,14,1,42,,,,
604,Sandy Alcantara,MIA,6,7,4.12,18,18,114,479,108,57,52,12,32,4,91,,,,
605,Eduardo Rodríguez,ARI,6,5,4.08,17,17,96,417,97,47,43,12,35,1,83,,,,
606,Troy Melton,DET,3,3,4.26,15,11,56,238,55,29,26,8,17,1,49,,,,
607,David Sandlin,CHW,2,4,4.92,14,7,45,199,49,27,25,7,15,1,38,,,,
