#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
253,Ryan Helsley,BAL,3,2,3.23,32,0,,,,32,136,27,13,12,3,12,,0,39,0.287
254,Bailey Falter,KCR,3,4,4.77,15,13,,,,64,277,65,37,34,10,22,,1,45,0.162
255,Jake Woodford,MIL,3,3,4.12,21,6,,,,57,243,54,29,26,7,18,,3,44,0.181
256,Paul Blackburn,NYY,3,3,4.83,16,8,,,,50,220,52,29,27,6,19,,2,39,0.177
257,Braydon Fisher,TOR,3,2,3.56,39,2,,,,41,175,34,18,16,4,19,,2,47,0.269
258,Kyle Hurt,LAD,2,2,4.48,19,7,,,,40,176,36,22,20,5,20,,2,46,0.261
259,Robert Suarez,ATL,4,2,3.38,37,0,,,,36,149,31,15,14,3,10,,1,35,0.235
260,JT Brubaker,SFG,1,1,4.34,18,7,,,,45,200,46,24,22,4,19,,2,37,0.185
261,Pete Fairbanks,MIA,3,2,3.53,35,0,,,,33,137,27,14,13,3,12,,1,36,0.263
262,Wilber Dotel,PIT,3,5,4.54,15,12,,,,60,260,61,33,30,8,22,,3,48,0.185
263,Mitch Farris,LAA,2,4,5.24,16,11,,,,67,296,69,42,39,11,28,,1,62,0.209
264,Luke Weaver,NYM,3,2,4.09,32,3,,,,44,185,40,22,20,6,15,,1,47,0.254
265,Tyler Uberstine,BOS,3,3,4.54,12,9,,,,52,226,53,28,26,8,19,,3,47,0.208
266,Ryan Feltner,COL,2,4,5.4,12,12,,,,56,250,60,36,34,8,25,,2,47,0.188
267,Tyler Holton,DET,3,3,3.76,41,4,,,,48,198,42,22,20,6,12,,1,40,0.202
268,Kyle Hart,SDP,3,3,4.36,19,9,,,,60,257,60,31,29,8,20,,4,53,0.206
269,Tanner Banks,PHI,2,2,3.87,35,1,,,,40,168,37,19,17,4,12,,1,37,0.22
270,Jonathan Bowlan,PHI,2,2,4.35,27,4,,,,47,200,46,25,23,6,16,,2,45,0.225
271,Garrett Cleavinger,TBR,3,2,3.4,37,0,,,,34,140,26,14,13,4,13,,4,43,0.307
272,Tomoyuki Sugano,COL,4,7,5.12,16,16,,,,84,374,103,52,48,15,22,,2,51,0.136
273,Lucas Giolito,SDP,4,5,4.49,15,15,,,,76,327,70,41,38,13,32,,2,70,0.214
274,Mitch Spence,KCR,2,3,4.71,16,9,,,,60,262,64,34,32,8,20,,3,45,0.172
