Date,Home,Away,Home_Runs_In1,Home_OB_In1,Home_SO_In1,Home_Runs_In2,Home_OB_In2,Home_SO_In2,Home_Runs_In3,Home_OB_In3,Home_SO_In3,Home_Runs_In4,Home_OB_In4,Home_SO_In4,Home_Runs_In5,Home_OB_In5,Home_SO_In5,Home_Runs_In6,Home_OB_In6,Home_SO_In6,Home_Runs_In7,Home_OB_In7,Home_SO_In7,Home_Runs_In8,Home_OB_In8,Home_SO_In8,Home_Runs_In9,Home_OB_In9,Home_SO_In9,Away_Runs_In1,Away_OB_In1,Away_SO_In1,Away_Runs_In2,Away_OB_In2,Away_SO_In2,Away_Runs_In3,Away_OB_In3,Away_SO_In3,Away_Runs_In4,Away_OB_In4,Away_SO_In4,Away_Runs_In5,Away_OB_In5,Away_SO_In5,Away_Runs_In6,Away_OB_In6,Away_SO_In6,Away_Runs_In7,Away_OB_In7,Away_SO_In7,Away_Runs_In8,Away_OB_In8,Away_SO_In8,Away_Runs_In9,Away_OB_In9,Away_SO_In9,Home_Runs_Total,Away_Runs_Total,Runs_Total,Total_After_5,Over_45,Over_85,Over_Then_Under,Under_Then_Over
8/20/25,SD,SF,1,2,1,1,2,1,4,4,1,0,1,0,0,0,1,0,0,2,1,2,1,1,2,1,0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,2,1,0,0,1,8,1,9,7,1,1,0,0
8/20/25,AZ,CLE,1,2,1,0,1,1,0,1,1,0,0,1,0,3,0,0,0,2,0,1,0,0,0,0,1,1,1,1,3,1,1,1,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,1,2,0,1,1,2,2,4,3,0,0,0,0
8/20/25,WSH,NYM,0,0,2,0,0,0,2,3,0,2,3,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,2,0,3,5,1,0,0,1,0,0,0,0,1,0,5,4,9,6,1,1,0,0
8/20/25,COL,LAD,0,0,1,2,3,1,0,0,0,3,6,1,0,2,0,1,3,2,0,0,0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,1,0,0,1,0,0,2,2,2,1,8,3,11,5,1,1,0,0
8/20/25,PIT,TOR,2,3,2,0,0,1,0,0,3,0,1,2,0,3,0,0,2,3,0,3,0,0,1,1,0,0,0,1,1,2,0,0,1,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2,1,3,3,0,0,0,0
8/20/25,PHI,SEA,1,3,2,1,3,0,0,2,0,1,4,0,0,2,1,0,2,1,5,7,0,3,3,1,0,0,0,1,1,3,0,1,3,0,0,2,0,1,1,0,0,2,0,0,1,1,2,2,0,0,1,0,1,2,11,2,13,4,0,1,0,1
8/20/25,CHC,MIL,0,0,1,0,0,1,3,4,2,0,0,1,0,0,1,0,1,2,0,0,1,1,2,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,1,0,2,0,1,2,1,0,0,1,0,0,1,1,4,2,4,3,7,4,0,0,0,0
8/20/25,TB,NYY,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,3,1,1,1,2,3,3,1,3,0,0,0,2,0,0,1,0,2,0,1,2,1,0,0,2,0,0,3,1,2,2,0,0,1,3,3,6,2,0,0,0,0
8/20/25,MIN,ATH,0,1,1,0,0,2,0,2,0,0,2,1,2,4,1,0,1,0,0,1,0,0,2,0,0,2,1,0,0,2,1,1,0,0,1,2,1,1,1,0,0,1,0,2,1,0,0,1,0,3,1,0,2,3,2,2,4,4,0,0,0,0
8/20/25,KC,TEX,3,5,0,0,3,1,0,0,0,0,0,1,0,2,2,0,0,1,0,3,1,0,0,3,0,0,0,1,2,2,0,0,1,1,3,1,0,0,1,0,1,0,0,1,0,1,4,0,0,2,1,3,4,0,3,6,9,5,1,1,0,0
