#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
341,Rob Refsnyder,SEA,26,99,113,23,15,4,0,4,13,13,11,0,30,2,1,0,1,0,0.236
342,Jose Siri,LAA,28,106,117,23,13,4,1,5,15,14,8,0,40,1,1,1,4,1,0.218
343,Blake Dunn,CIN,25,92,104,22,16,4,1,2,12,8,8,0,27,2,1,1,3,1,0.241
344,Alan Roden,MIN,33,123,139,31,22,6,0,2,15,12,12,0,23,3,1,0,2,1,0.248
345,Tyler Heineman,TOR,24,84,95,17,13,3,0,2,9,7,6,0,20,2,1,2,1,0,0.206
346,Eric Haase,SFG,24,87,95,19,13,3,0,3,10,10,6,0,29,1,1,1,0,0,0.222
347,José Fermín,STL,28,103,117,25,17,5,0,2,14,11,11,0,16,2,1,1,3,1,0.241
348,Jimmy Crooks,STL,13,45,50,11,7,2,0,1,6,6,4,0,13,1,0,0,0,0,0.243
349,Esmerlyn Valdez,PIT,34,131,146,31,19,6,0,5,17,19,12,0,40,2,1,0,1,0,0.236
350,Alex Freeland,LAD,22,87,98,19,13,4,0,3,12,10,9,0,27,1,1,0,2,1,0.223
351,Masataka Yoshida,BOS,45,170,190,46,32,9,0,4,22,22,15,0,22,3,1,0,1,0,0.268
352,Jordan Beck,COL,34,130,144,33,21,7,1,4,19,17,11,0,38,1,1,0,4,1,0.255
353,Pavin Smith,ARI,45,165,190,39,25,8,0,6,22,23,23,1,46,1,1,0,1,0,0.235
354,Enrique Hernández,LAD,29,115,127,27,16,6,0,4,15,16,9,0,28,1,1,0,0,0,0.232
355,Graham Pauley,MIA,35,132,146,29,18,6,0,4,15,17,12,0,31,1,1,0,2,1,0.22
356,Jahmai Jones,DET,22,83,95,20,12,4,1,3,13,11,9,0,23,1,1,1,2,1,0.244
357,Edgar Quero,CHW,47,167,188,40,30,7,0,3,18,18,16,0,36,3,2,1,0,0,0.24
358,Alex Call,LAD,20,76,89,18,13,3,0,2,11,8,10,0,15,1,1,1,1,1,0.239
359,Thomas Saggese,STL,28,107,117,26,18,5,1,2,13,12,7,0,30,1,1,0,1,0,0.245
360,José Tena,WSN,35,134,146,33,23,7,0,3,16,16,10,0,38,1,1,1,4,1,0.247
361,TJ Friedl,CIN,60,219,254,49,35,8,1,5,29,21,26,0,46,5,2,3,5,2,0.226
362,Myles Straw,TOR,23,89,100,22,16,3,1,2,12,8,8,0,18,0,1,2,3,1,0.245
363,James McCann,ARI,24,83,92,20,14,3,0,2,9,10,5,0,23,1,1,1,0,0,0.238
364,Luis Rengifo,MIL,66,257,282,63,48,11,1,3,29,26,19,0,45,3,2,1,8,3,0.245
365,Bryce Eldridge,SFG,57,215,241,50,32,10,0,8,27,30,23,2,71,2,2,0,1,0,0.235
366,Max Clark,DET,19,73,81,18,12,4,0,1,9,8,7,0,15,1,1,0,2,0,0.241
367,Austin Hays,CHW,47,183,200,45,29,9,1,6,22,23,13,1,47,2,1,0,2,1,0.244
368,Eli White,ATL,16,62,68,16,11,3,1,2,9,7,4,0,17,1,0,0,2,1,0.251
369,Nick Sogard,BOS,30,113,127,27,20,6,0,2,14,11,12,0,26,1,1,1,3,1,0.24
370,Taylor Walls,TBR,45,167,189,34,24,7,1,3,20,15,19,0,45,1,1,2,8,2,0.206
371,Tyler Austin,CHC,14,52,59,13,8,3,0,3,8,9,6,0,16,0,0,0,0,0,0.248
372,Heriberto Hernández,MIA,32,117,132,27,17,6,1,4,16,15,13,0,35,1,1,1,2,1,0.235
373,Joey Loperfido,HOU,54,204,226,46,31,10,1,4,24,20,16,1,65,3,1,1,5,1,0.228
374,Sung-Mun Song,SDP,41,157,172,35,24,7,0,3,18,17,13,0,37,1,1,0,3,1,0.221
375,Alejandro Osuna,TEX,25,90,102,22,16,4,0,1,12,9,9,0,20,2,1,1,3,1,0.245
376,Nick Castellanos,SDP,40,153,167,39,26,8,1,5,19,20,10,0,38,1,1,0,1,0,0.252
377,Isiah Kiner-Falefa,BOS,35,133,145,34,27,5,1,1,16,11,7,0,24,2,1,1,5,2,0.254
378,Leo De Vries,ATH,11,41,46,10,6,2,0,1,6,6,4,0,10,0,0,0,1,0,0.244
379,Josh Lowe,LAA,50,192,211,44,28,9,1,6,25,21,17,1,57,1,2,0,8,2,0.228
380,Max Kepler,,13,49,55,12,7,2,0,2,6,7,5,0,11,1,0,0,0,0,0.241
381,Ryan Mountcastle,BAL,19,74,82,20,13,3,0,3,10,10,6,0,19,1,1,0,0,0,0.264
382,Javier Báez,DET,35,138,149,33,22,6,1,3,16,16,6,0,34,2,1,0,2,1,0.235
383,Christian Moore,LAA,19,71,81,16,11,3,1,2,9,7,8,0,23,1,1,0,2,0,0.227
