#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
173,Royce Lewis,MIN,71,281,309,66,41,13,0,11,34,42,24,1,72,2,2,0,8,1,0.234
174,Henry Bolte,ATH,56,216,243,53,36,10,2,5,28,32,20,0,85,5,2,0,13,3,0.245
175,Carlos Narváez,BOS,60,209,237,47,30,12,0,6,25,24,23,0,65,3,1,1,1,0,0.224
176,Luis Robert Jr.,NYM,52,202,224,48,30,10,0,8,27,31,18,1,59,2,1,0,10,3,0.237
177,Bryan Reynolds,PIT,96,363,413,93,61,19,2,11,47,50,42,2,99,6,2,0,4,1,0.256
178,Luis Campusano,SDP,45,159,178,40,26,8,0,6,22,23,17,0,37,1,1,0,0,0,0.253
179,Nathan Lukes,TOR,49,191,213,52,37,10,1,4,24,27,16,0,34,3,1,2,2,2,0.272
180,Tyler Soderstrom,ATH,92,358,398,88,50,20,2,15,44,58,34,2,89,4,2,0,3,1,0.245
181,Jose Altuve,HOU,72,278,310,72,49,14,0,9,41,32,27,2,56,3,2,0,5,2,0.261
182,Lars Nootbaar,STL,57,213,247,52,33,11,1,7,31,25,30,1,51,1,2,0,2,1,0.243
183,Jacob Young,WSN,69,269,299,66,51,10,1,4,38,28,19,0,52,5,1,5,12,5,0.244
184,Jake Cronenworth,SDP,72,265,310,60,39,12,1,7,37,30,35,0,62,7,2,1,2,1,0.226
185,Anthony Volpe,NYY,49,190,211,44,26,11,1,6,25,25,17,0,52,2,1,1,8,3,0.231
186,Jake Burger,TEX,95,382,412,91,52,18,1,21,49,64,23,1,107,6,2,0,1,1,0.239
187,Ryan O'Hearn,PIT,63,241,272,66,45,12,0,8,34,33,27,2,52,3,2,0,2,0,0.272
188,Jake McCarthy,COL,71,278,309,76,54,13,5,5,38,32,20,0,52,5,2,3,16,3,0.275
189,Colton Cowser,BAL,57,216,245,50,31,10,0,8,31,31,24,0,77,3,2,0,6,2,0.231
190,Danny Jansen,TEX,56,192,222,39,21,9,0,8,23,24,24,0,55,4,1,0,0,0,0.202
191,Dalton Rushing,LAD,40,139,160,32,19,6,0,7,20,23,16,0,45,4,1,0,0,0,0.231
192,Victor Caratini,MIN,77,268,308,62,47,8,0,7,25,33,25,0,56,10,5,0,1,0,0.23
193,Nolan Gorman,STL,85,327,369,73,44,13,1,15,41,49,38,1,115,1,3,0,2,1,0.223
194,Pedro Pagés,STL,58,211,230,47,32,9,0,6,20,24,13,0,60,2,1,2,1,0,0.224
195,Jesús Sánchez,TOR,63,247,272,63,39,13,1,10,32,37,20,1,64,3,3,0,5,1,0.254
196,Lawrence Butler,ATH,70,272,302,63,40,13,1,10,39,39,28,0,79,0,2,0,9,3,0.232
197,Connor Norby,MIA,72,282,313,70,45,15,1,9,40,35,24,0,85,5,2,0,7,2,0.248
198,Jake Bauers,MIL,60,226,259,55,30,12,1,12,35,38,29,2,72,3,1,0,7,2,0.244
199,Colt Keith,DET,70,275,304,73,49,15,1,7,40,34,26,0,68,2,2,0,1,0,0.265
200,Brett Baty,NYM,54,209,234,52,34,9,1,8,29,30,21,0,58,2,2,0,2,1,0.248
201,Vinnie Pasquantino,KCR,99,380,426,93,56,19,1,17,44,60,39,2,66,4,4,0,2,0,0.246
202,Ryan McMahon,NYY,64,243,275,51,31,10,0,9,29,32,29,1,88,2,1,0,2,1,0.208
203,Cam Smith,HOU,74,284,319,67,45,14,2,7,37,33,28,0,84,4,2,0,6,1,0.236
204,Brenton Doyle,COL,59,234,254,57,37,10,2,7,34,27,17,0,71,1,1,1,10,2,0.243
205,Carson Williams,TBR,63,246,273,52,31,9,2,9,35,35,22,0,94,2,2,1,8,4,0.212
206,Sean Murphy,ATL,41,144,165,31,18,7,0,7,18,20,16,0,46,4,1,0,0,0,0.217
207,Jordan Walker,STL,92,360,397,89,57,17,1,14,45,50,31,1,105,4,2,0,7,4,0.248
208,Coby Mayo,BAL,48,187,209,43,24,10,1,8,25,28,18,0,58,3,1,0,2,1,0.228
209,Paul Goldschmidt,NYY,54,209,234,55,34,12,0,8,31,30,21,1,53,2,1,0,2,0,0.263
210,Jared Triolo,PIT,54,205,231,51,37,10,1,3,26,20,22,0,52,2,1,1,6,1,0.247
211,Carlos Cortes,ATH,60,233,261,60,38,13,1,7,28,31,24,0,49,2,2,0,1,1,0.256
212,Liam Hicks,MIA,80,288,334,72,54,10,1,8,36,44,34,0,45,8,3,1,2,0,0.251
213,Heliot Ramos,SFG,64,249,275,65,42,13,1,9,33,34,20,1,66,4,2,0,2,1,0.26
214,Austin Martin,MIN,63,233,272,60,45,12,1,2,31,23,31,0,43,6,2,1,11,5,0.258
215,Joey Loperfido,HOU,53,206,229,51,33,11,1,6,27,28,17,0,64,4,2,1,5,2,0.249
216,Spencer Steer,CIN,77,295,333,72,44,16,1,11,41,42,31,0,71,5,2,0,5,1,0.244
217,Chandler Simpson,TBR,84,336,363,97,84,10,3,0,47,26,19,0,37,0,2,5,31,8,0.288
218,Victor Scott II,STL,83,314,359,69,52,10,2,5,42,28,29,0,79,6,2,9,24,6,0.219
219,Jordan Lawlar,ARI,49,188,213,45,28,11,1,5,28,24,19,0,57,3,1,1,8,2,0.238
220,Mickey Moniak,COL,63,253,272,67,38,13,3,14,35,41,15,0,68,3,2,0,4,2,0.266
221,Blaze Alexander,BAL,47,181,204,44,30,8,1,4,22,23,16,0,61,5,1,2,5,2,0.242
222,Yainer Diaz,HOU,47,176,186,47,32,8,1,6,19,24,8,0,32,1,1,0,0,0,0.266
223,Brooks Lee,MIN,89,356,386,88,60,16,2,10,40,47,25,1,67,3,2,0,4,2,0.246
224,Josh Bell,MIN,91,348,395,85,56,16,1,13,42,49,41,1,77,3,3,0,0,1,0.246
225,Max Muncy,ATH,43,169,188,42,26,10,1,5,23,25,13,0,56,4,2,1,2,1,0.251
226,Josh Smith,TEX,53,198,229,49,34,9,1,5,27,21,23,1,44,5,1,1,5,2,0.245
227,Joc Pederson,TEX,64,234,275,54,33,9,1,12,34,32,33,1,64,5,2,0,1,1,0.232
228,Salvador Perez,KCR,96,366,396,89,56,16,1,16,36,54,19,3,83,7,3,0,0,0,0.243
229,Tyler O'Neill,BAL,75,282,322,64,40,10,1,14,41,40,34,1,87,4,2,0,4,1,0.227
230,Cedric Mullins,TBR,77,298,334,64,41,12,1,9,38,37,29,0,72,3,2,2,15,4,0.215
231,Ryan Jeffers,MIN,36,126,145,32,20,7,0,5,17,18,16,0,29,3,1,0,1,0,0.253
232,Kyle Teel,CHW,42,151,171,37,27,6,0,4,22,19,19,0,45,1,1,0,2,1,0.249
233,Edmundo Sosa,PHI,59,238,256,58,38,12,1,7,31,33,9,0,57,6,2,1,4,1,0.245
234,Kody Clemens,MIN,57,221,245,51,28,12,2,9,29,31,18,0,59,4,1,1,4,1,0.229
235,Kerry Carpenter,DET,64,251,277,62,37,10,2,13,33,45,19,1,70,4,2,0,1,1,0.248
236,JJ Bleday,CIN,73,276,314,66,36,15,1,15,42,45,36,1,70,1,2,0,2,1,0.238
237,Matt Wallner,MIN,44,164,191,38,19,9,1,9,24,25,20,0,62,6,1,0,2,1,0.228
238,Daylen Lile,WSN,90,356,390,92,59,19,6,8,50,45,27,0,73,4,3,1,9,4,0.26
239,Kyle Higashioka,TEX,52,190,206,42,27,8,1,7,20,26,14,0,54,1,1,1,1,1,0.222
240,Michael Massey,KCR,77,311,334,76,49,17,1,9,34,38,16,0,64,3,3,1,3,1,0.244
241,Trevor Story,BOS,51,207,222,51,33,11,1,7,26,29,11,1,64,2,2,0,8,0,0.249
242,Andrew Vaughn,MIL,75,294,325,75,46,17,1,11,33,47,25,0,61,4,2,0,0,0,0.256
243,Jake Mangum,PIT,46,185,200,52,39,9,1,2,21,18,10,0,34,2,1,1,8,2,0.278
244,Nolan Schanuel,LAA,77,289,331,75,54,14,0,7,38,35,33,1,48,5,2,1,3,1,0.26
245,Curtis Mead,WSN,57,218,245,54,36,11,0,6,29,28,20,0,48,6,1,0,3,2,0.248
246,Leody Taveras,BAL,39,152,168,39,27,7,1,3,21,18,13,0,35,0,1,1,7,1,0.256
247,Logan O'Hoppe,LAA,65,233,259,53,36,7,0,10,27,31,20,0,70,4,2,0,1,1,0.229
248,Isaac Collins,KCR,71,261,307,60,39,13,3,5,37,30,38,1,68,5,2,1,9,4,0.231
249,Trevor Larnach,MIN,63,240,272,59,39,12,1,8,33,31,29,1,63,2,1,0,2,1,0.248
250,Owen Caissie,MIA,65,249,281,62,38,15,1,8,32,37,27,0,94,2,3,0,3,1,0.248
