#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
133,Yusei Kikuchi,LAA,3,4,4.83,11,11,0,0,,66,286,66,38,35,11,25,0,2,64
134,Mike Burrows,HOU,5,6,4.83,16,16,0,0,,89.1,382,87,51,48,16,31,0,4,79
135,Randy Vásquez,SDP,6,7,5.08,19,19,0,0,,102.2,448,107,62,58,16,37,0,5,67
136,Spencer Arrighetti,HOU,6,7,4.93,23,17,0,0,,86,377,80,50,47,13,41,0,5,83
137,Brandon Pfaadt,ARI,4,5,4.79,27,12,0,0,,72.1,309,75,41,38,11,19,1,3,57
138,Spencer Schwellenbach,ATL,2,1,3.69,5,5,0,0,,28.1,116,26,12,12,3,6,0,1,27
139,Sean Manaea,NYM,5,5,4.69,31,12,0,0,,75.2,325,73,42,39,12,28,1,4,72
140,Sean Burke,CHW,5,7,5.02,18,18,0,0,,98.1,427,94,59,55,17,41,0,5,87
141,Brayan Bello,BOS,6,6,4.74,17,17,0,0,,98,426,101,56,52,13,38,0,5,68
142,Brandon Sproat,MIL,5,6,4.55,22,15,0,0,,76,328,70,41,39,11,32,0,4,70
143,Griffin Canning,SDP,6,6,4.71,20,16,0,0,,92.1,400,87,52,48,14,41,0,3,82
144,Kendry Rojas,MIN,3,3,4.27,38,5,0,0,,56.2,243,54,29,27,6,22,1,2,53
145,Quinn Priester,MIL,3,4,4.5,11,11,0,0,,59,252,59,32,29,8,20,0,3,44
146,Noah Schultz,CHW,4,6,4.8,14,14,0,0,,71.1,310,69,41,38,10,31,0,4,59
147,Jameson Taillon,CHC,6,7,4.81,19,19,0,0,,106.2,449,104,61,57,21,29,0,3,80
148,Roki Sasaki,LAD,6,4,4.69,22,14,0,0,,73.1,317,69,41,38,11,31,0,4,67
149,Ian Seymour,TBR,2,2,3.86,45,2,2,11,,57.2,243,49,27,25,7,21,1,3,59
150,Joe Musgrove,SDP,3,3,4.38,9,9,0,0,,47,198,44,24,23,7,14,0,3,41
151,Aaron Ashby,MIL,2,1,3.52,46,1,3,8,,55,235,46,23,21,4,28,1,3,62
152,Spencer Miles,TOR,2,2,3.8,37,3,0,6,,48.2,204,43,22,21,5,17,1,2,44
153,Kyle Leahy,STL,4,7,5.26,31,15,0,0,,88.2,391,98,55,52,13,32,1,4,68
154,Grant Holmes,ATL,5,5,4.81,27,13,0,0,,74.2,325,74,43,40,11,31,1,3,71
