Date,Home,Away,Home_Runs_In1,Home_Runs_In2,Home_Runs_In3,Home_Runs_In4,Home_Runs_In5,Home_Runs_In6,Home_Runs_In7,Home_Runs_In8,Home_Runs_In9,Home_SO_In1,Home_SO_In2,Home_SO_In3,Home_SO_In4,Home_SO_In5,Home_SO_In6,Home_SO_In7,Home_SO_In8,Home_SO_In9,Home_OB_In1,Home_OB_In2,Home_OB_In3,Home_OB_In4,Home_OB_In5,Home_OB_In6,Home_OB_In7,Home_OB_In8,Home_OB_In9,Away_Runs_In1,Away_Runs_In2,Away_Runs_In3,Away_Runs_In4,Away_Runs_In5,Away_Runs_In6,Away_Runs_In7,Away_Runs_In8,Away_Runs_In9,Away_SO_In1,Away_SO_In2,Away_SO_In3,Away_SO_In4,Away_SO_In5,Away_SO_In6,Away_SO_In7,Away_SO_In8,Away_SO_In9,Away_OB_In1,Away_OB_In2,Away_OB_In3,Away_OB_In4,Away_OB_In5,Away_OB_In6,Away_OB_In7,Away_OB_In8,Away_OB_In9
4/5/26,SF,NYM,0.567,0.5188,0.5264,0.5136,0.4996,0.5166,0.524,0.503,0.4972,0.9258,1.0012,0.973,0.9676,0.9704,0.9596,0.9816,0.9768,0.9898,1.572,1.4798,1.5038,1.4652,1.4734,1.502,1.4796,1.4554,1.4634,0.374,0.3604,0.3666,0.3754,0.3742,0.3738,0.3538,0.3746,0.3742,0.8748,0.985,0.9336,0.9738,0.9452,0.973,0.9492,0.9426,0.9648,1.1954,1.1578,1.1946,1.1818,1.1912,1.217,1.1852,1.204,1.1878
4/5/26,PIT,BAL,0.5688,0.5276,0.5392,0.4956,0.5334,0.542,0.5446,0.5482,0.5196,1.033,0.896,0.9428,0.896,0.9026,0.8868,0.8964,0.9194,0.9058,1.5952,1.5022,1.5292,1.4518,1.524,1.5484,1.5408,1.5458,1.5164,0.4062,0.3366,0.413,0.3878,0.3812,0.3792,0.3626,0.3766,0.3838,1.0544,1.0476,1.0798,1.0396,1.0796,1.046,1.0674,1.0826,1.0794,1.3006,1.2004,1.2744,1.2386,1.2522,1.2462,1.2334,1.243,1.267
4/5/26,NYY,MIA,0.6206,0.4732,0.5482,0.4814,0.514,0.5056,0.5272,0.4794,0.4808,1.2218,1.3058,1.2612,1.2816,1.2574,1.2684,1.2754,1.2624,1.2688,1.6394,1.3846,1.5198,1.4118,1.4602,1.4542,1.4774,1.4078,1.4182,0.4194,0.4244,0.4114,0.4346,0.4254,0.4192,0.42,0.4256,0.4142,0.967,0.8398,0.865,0.858,0.8294,0.8526,0.8562,0.838,0.8502,1.3098,1.3424,1.2932,1.3416,1.3424,1.3334,1.303,1.3216,1.293
4/5/26,LAA,SEA,0.543,0.4798,0.5012,0.5,0.5294,0.4934,0.542,0.4922,0.5232,1.0966,1.1332,1.0858,1.098,1.0788,1.0782,1.075,1.1102,1.0706,1.4728,1.2732,1.4012,1.3454,1.4154,1.3448,1.3998,1.362,1.3652,0.6828,0.6054,0.6602,0.6366,0.6398,0.654,0.6272,0.6444,0.6194,1.0582,1.017,1.056,1.0324,1.0682,1.0574,1.0532,1.0438,1.059,1.721,1.6882,1.6936,1.7234,1.707,1.7302,1.6886,1.7084,1.6926
4/5/26,KC,MIL,0.5054,0.4492,0.461,0.4758,0.4438,0.47,0.4658,0.456,0.4564,0.9428,1.0598,0.9318,1.0334,0.9798,1.0246,0.992,0.9992,1.021,1.424,1.3866,1.3978,1.4226,1.382,1.418,1.4104,1.3854,1.3808,0.4244,0.3956,0.4024,0.4052,0.3942,0.3962,0.3982,0.3858,0.4162,0.9832,1.0286,1.009,1.017,1.0072,1.0198,0.998,0.992,1.0208,1.4148,1.3358,1.3962,1.366,1.3544,1.351,1.3782,1.3402,1.371
4/5/26,DET,STL,0.6144,0.5644,0.5888,0.5834,0.5672,0.551,0.554,0.57,0.5772,0.8226,0.9628,0.865,0.9172,0.8878,0.9156,0.8956,0.916,0.8958,1.6158,1.468,1.538,1.5388,1.5022,1.5212,1.494,1.524,1.5126,0.5772,0.5012,0.5392,0.502,0.541,0.5126,0.5196,0.5348,0.5102,0.7354,0.8124,0.7428,0.8056,0.7576,0.7996,0.7804,0.7836,0.776,1.524,1.3786,1.4578,1.4098,1.47,1.4294,1.4336,1.4362,1.4042
4/5/26,COL,PHI,0.6532,0.6092,0.6366,0.6394,0.6352,0.682,0.6274,0.633,0.6554,0.7302,0.7194,0.7404,0.7424,0.7524,0.7434,0.741,0.7542,0.7508,1.4658,1.5384,1.4914,1.5474,1.5036,1.561,1.5158,1.5436,1.5552,0.6836,0.5594,0.6128,0.592,0.6154,0.5856,0.6252,0.6188,0.6456,0.605,0.5718,0.5968,0.5912,0.6144,0.5948,0.5898,0.572,0.5784,1.543,1.4012,1.4442,1.4302,1.4666,1.4226,1.4652,1.4404,1.509
4/5/26,CLE,CHC,0.5464,0.4474,0.5488,0.4948,0.5238,0.4958,0.513,0.4902,0.4898,0.7194,1.016,0.8566,0.9546,0.9244,0.9262,0.9126,0.9146,0.9288,1.3904,1.2096,1.3774,1.2658,1.3518,1.296,1.2954,1.2816,1.2836,0.553,0.4914,0.4832,0.5106,0.479,0.483,0.4876,0.5078,0.5102,1.0186,0.9996,0.9856,0.9974,1.003,0.9934,1.0174,0.9902,1.0046,1.4578,1.4008,1.3692,1.432,1.3806,1.3976,1.383,1.421,1.4092
4/5/26,CWS,TOR,0.661,0.5134,0.6106,0.529,0.5512,0.5348,0.5462,0.5372,0.5674,0.9358,0.8608,0.9234,0.89,0.9066,0.8956,0.9128,0.8838,0.905,1.6168,1.4114,1.5236,1.4464,1.4538,1.427,1.4562,1.4402,1.4624,0.519,0.4456,0.5146,0.4728,0.4812,0.494,0.4764,0.5206,0.4964,0.7568,0.758,0.7704,0.7762,0.781,0.7884,0.7536,0.7726,0.7766,1.4758,1.2742,1.4058,1.3404,1.357,1.3888,1.3554,1.4076,1.3604
4/5/26,BOS,SD,0.5796,0.5126,0.5654,0.5438,0.5656,0.548,0.5502,0.5704,0.5452,1.0118,0.8002,0.9396,0.8748,0.922,0.8912,0.8854,0.892,0.8858,1.586,1.5404,1.535,1.5616,1.5656,1.5352,1.5328,1.5886,1.5472,0.445,0.3834,0.4154,0.413,0.4162,0.4158,0.3958,0.4066,0.3846,0.9008,0.8168,0.8872,0.8174,0.8692,0.8406,0.8496,0.8484,0.8548,1.3056,1.2556,1.2922,1.2622,1.295,1.2894,1.2754,1.3108,1.2528
4/5/26,AZ,ATL,0.5352,0.398,0.4694,0.4278,0.4482,0.4154,0.4444,0.4484,0.4658,0.6492,0.7802,0.727,0.7446,0.7378,0.7418,0.751,0.733,0.726,1.5,1.2884,1.3896,1.314,1.3532,1.2896,1.3456,1.34,1.3416,0.5694,0.442,0.5062,0.4716,0.5052,0.4942,0.4784,0.4852,0.502,0.9144,0.7788,0.9118,0.8362,0.9222,0.843,0.8768,0.8634,0.8758,1.4484,1.2748,1.3272,1.3062,1.3502,1.337,1.3182,1.3362,1.354
4/6/26,WSH,STL,0.5446,0.4634,0.467,0.4356,0.4566,0.4926,0.4566,0.4688,0.465,0.7796,0.735,0.7266,0.7334,0.7288,0.7442,0.7172,0.715,0.7406,1.493,1.4092,1.404,1.3756,1.4124,1.4372,1.386,1.4194,1.3878,0.6278,0.4726,0.572,0.5494,0.537,0.573,0.5298,0.5612,0.5614,0.674,0.7806,0.7112,0.7538,0.712,0.7356,0.7252,0.7432,0.7576,1.4716,1.2332,1.3862,1.3348,1.3482,1.3692,1.3164,1.3742,1.3532
